title,plot
Interstellar,"Interstellar is a sci-fi film where Earth faces a severe famine, leading astronauts to travel through a wormhole searching for a new home. Their odyssey tests the limits of human endurance and love."
Spirited Away,"Spirited Away is a fantasy film where a young girl stumbles into a spirit world governed by mysterious entities. To save her parents, she must muster her courage and navigate magical perils."
Parasite,Parasite is a thriller film about a poor family who cons their way into working for a wealthy household. Tensions mount as hidden secrets unravel with dire consequences.
The Green Mile,The Green Mile is a drama film set on a prison block where a guard discovers a death-row inmate with a miraculous gift. The revelation challenges his beliefs about justice and compassion.
The Lion King,"The Lion King is an animation film about Simba, a young lion who flees his kingdom after tragedy strikes. He must face his past to reclaim his rightful place and restore harmony."
The Pianist,The Pianist is a war film telling the story of a Polish Jewish musician’s struggle to survive the destruction of Warsaw in World War II. His music becomes a vital link to hope amidst the horror.
The Departed,"The Departed is a crime film set in Boston, where an undercover cop infiltrates the Irish mafia while a mole sits within the police. Their intertwined paths lead to a tense and deadly showdown."
Whiplash,"Whiplash is a drama film focusing on a passionate drummer who enrolls in a cutthroat music conservatory. Under an exacting, abusive instructor, he strives to attain perfection."
The Prestige,The Prestige is a drama/thriller film about two rival magicians in Victorian London. Their obsession with surpassing each other leads to dangerous secrets and tragic outcomes.
Avengers: Infinity War,"Avengers: Infinity War is a superhero film in which Earth's mightiest heroes unite to stop Thanos, a warlord bent on erasing half of all life. Their desperate battle spans multiple planets."
The Avengers,The Avengers is a superhero film where iconic heroes join forces to stop Loki’s alien invasion. They must overcome their differences to defend Earth against destruction.
Django Unchained,Django Unchained is a western film about a freed slave who teams up with a bounty hunter to rescue his wife from a ruthless plantation owner. Their mission challenges the cruelty of the American South.
Titanic,"Titanic is a romance film chronicling Rose, an upper-class passenger, and Jack, a free-spirited artist, aboard the doomed ocean liner. Their forbidden love story collides with disaster when the ship strikes an iceberg."
Up,"Up is an animation film about elderly Carl, who ties balloons to his house to fulfill a dream of adventure. A stowaway boy scout unexpectedly changes their journey through uncharted lands."
Gladiator,"Gladiator is a historical film in which a betrayed Roman general becomes a gladiator seeking vengeance. He fights in the arena, hoping to confront the corrupt emperor who murdered his family."
Memento,"Memento is a thriller film following Leonard, who suffers from short-term memory loss and uses tattoos and notes to find his wife's killer. His fragmented quest blurs the line between truth and deception."
Terminator 2: Judgment Day,"Terminator 2: Judgment Day is a sci-fi film where a cyborg is reprogrammed to protect John Connor, humanity’s future resistance leader. Together, they battle a more advanced terminator bent on altering fate."
The Usual Suspects,The Usual Suspects is a crime film about a group of criminals brought together for a heist that backfires. The lone survivor’s tale reveals a legendary mastermind known as Keyser Söze.
Back to the Future,Back to the Future is a sci-fi film where teenager Marty McFly accidentally travels to 1955 in a time machine invented by Doc Brown. He must ensure his parents fall in love or risk erasing his own existence.
Psycho,"Psycho is a horror film about Marion Crane, who steals money and hides out at the secluded Bates Motel. There, she encounters Norman Bates, whose dark secrets culminate in a shocking finale."
City of God,"City of God is a crime film set in a violent Rio de Janeiro neighborhood where two boys diverge onto starkly different paths. Their choices reflect crime, hope, and survival."
The Intouchables,The Intouchables is a comedy/drama film about a wealthy quadriplegic who hires an ex-convict as his caretaker. Their unlikely bond demonstrates the power of humor and friendship against adversity.
WALL-E,WALL-E is an animation film in which a lonely robot compacts trash on a deserted Earth until he meets a sleek probe named EVE. Their adventure leads humanity toward hope for a livable planet.
Princess Mononoke,Princess Mononoke is a fantasy film where a young prince seeks a cure for his deadly curse in a forest inhabited by ancient gods. He is caught in a struggle between humans and nature’s spirits.
Once Upon a Time in the West,Once Upon a Time in the West is a western film about a mysterious harmonica player who teams with an outlaw to protect a widow from a ruthless killer. Their epic clash revolves around land and vengeance.
Alien,Alien is a horror film about the crew of a commercial space vessel who encounter a deadly extraterrestrial. Their survival hinges on fighting this ruthless creature in the eerie confines of their ship.
Coco,"Coco is an animation film about young Miguel, who dreams of becoming a musician despite his family’s ban on music. A journey to the Land of the Dead helps him uncover hidden truths about his ancestors."
Citizen Kane,"Citizen Kane is a drama film about newspaper tycoon Charles Foster Kane, whose dying word 'Rosebud' prompts an investigation into his life. The reporter's quest reveals a story of ambition and regret."
The Shining,"The Shining is a horror film where a family becomes isolated caretakers of an eerie hotel plagued by supernatural forces. The father succumbs to madness, threatening his wife and psychic child."
Oldboy,"Oldboy is a thriller film about a man mysteriously kidnapped and imprisoned for 15 years without explanation. Upon release, he embarks on a twisted path of revenge tied to his past."
Rear Window,Rear Window is a thriller film where a photographer with a broken leg starts spying on his neighbors. His growing suspicion of murder leads to tense confrontation and danger.
Casablanca,"Casablanca is a romance film set during World War II, where American expat Rick runs a nightclub in Morocco. When his former lover appears seeking safe passage, their past collides with wartime intrigue."
Your Name,Your Name is a fantasy/romance film in which two teenagers inexplicably swap bodies in their dreams. Their quest to understand this bond transcends time and shapes their fates.
Braveheart,Braveheart is a historical film about Scottish warrior William Wallace leading a revolt against English oppression. His passion and sacrifice ignite a fierce fight for freedom.
Requiem for a Dream,Requiem for a Dream is a drama film portraying various characters spiraling into addiction while chasing their desires. Their obsessions bring devastating consequences and heartbreak.
Toy Story,"Toy Story is an animation film in which Woody, a cowboy doll, fears losing his place when Buzz Lightyear arrives. Their rivalry turns into friendship as they navigate life outside their owner’s room."
Black Panther,"Black Panther is a superhero film featuring T'Challa’s return to Wakanda to be crowned king. He faces a formidable rival who questions Wakanda’s isolation, forcing T’Challa to protect his nation’s future."
Inglourious Basterds,Inglourious Basterds is a war film that follows a group of Jewish soldiers plotting to assassinate Nazi leaders in German-occupied France. Their brutal tactics collide with a parallel plot involving a revenge-driven movie theater owner.
Blade Runner,Blade Runner is a sci-fi film set in a dystopian future where synthetic humans called replicants are hunted. A weary cop must track down rogue replicants while questioning the nature of humanity.
Joker,"Joker is a psychological thriller film focusing on Arthur Fleck, a failed comedian in Gotham City. His descent into madness sparks violent chaos and a personal awakening."
Logan,"Logan is a superhero film where an aging Wolverine struggles to protect a young mutant with powers similar to his own. Set in a bleak future, he fights for survival and redemption."
The Truman Show,"The Truman Show is a comedy/drama film about Truman Burbank, whose entire life is secretly broadcast as a reality show. When he starts suspecting the truth, he yearns to escape the manufactured world."
American Beauty,"American Beauty is a drama film centered on Lester Burnham, who undergoes a midlife crisis. His pursuit of happiness disrupts his family and suburban life in unexpected ways."
Deadpool,"Deadpool is a superhero comedy film following Wade Wilson, a mercenary with accelerated healing and a sharp wit. He embarks on a personal vendetta while breaking the fourth wall at every turn."
Shutter Island,"Shutter Island is a psychological thriller film where two U.S. marshals investigate a missing patient at a remote psychiatric facility. As the mystery deepens, one detective confronts disturbing personal revelations."
The Wolf of Wall Street,"The Wolf of Wall Street is a crime/comedy film about Jordan Belfort, who rises to wealth through unethical stock trading. His lavish lifestyle spirals into drugs, corruption, and chaos."
La La Land,La La Land is a musical/romance film about two struggling artists in Los Angeles: an aspiring actress and a jazz pianist. Their dreams bring them together while also threatening to pull them apart.
Birdman,Birdman is a comedy/drama film about a faded superhero-movie star aiming to revive his career on Broadway. Internal battles and surreal occurrences blur his sense of reality.
The Grand Budapest Hotel,"The Grand Budapest Hotel is a comedy/adventure film about a legendary concierge accused of murder in a lavish European hotel. With his loyal lobby boy, he embarks on a madcap escape and quest for justice."
Gone Girl,Gone Girl is a psychological thriller film where Nick Dunne becomes the prime suspect when his wife Amy mysteriously vanishes. Dark secrets unravel in a twisted battle of media and manipulation.
Jurassic Park,"Jurassic Park is a sci-fi/adventure film about a theme park filled with cloned dinosaurs. When safety measures fail, visitors fight for survival on the prehistoric island."
Raiders of the Lost Ark,"Raiders of the Lost Ark is an action/adventure film featuring Indiana Jones, a daring archaeologist seeking the biblical Ark of the Covenant. Nazis race to harness its power, forcing Jones into globetrotting peril."
E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial is a sci-fi/family film about a gentle alien stranded on Earth. A young boy befriends and protects him while government agents close in.
2001: A Space Odyssey,2001: A Space Odyssey is a sci-fi film exploring humanity’s evolution and a mysterious monolith influencing it. Astronauts aboard a deep-space mission face their AI computer’s dangerous rebellion.
Reservoir Dogs,Reservoir Dogs is a crime film about a botched diamond heist that leaves the surviving thieves suspecting a mole. Tensions escalate as they regroup in a deserted warehouse.
Kill Bill: Volume 1,"Kill Bill: Volume 1 is an action film featuring The Bride, an assassin seeking vengeance on her former team after they betray her. The film blends martial arts, stylized violence, and a relentless revenge tale."
The Big Lebowski,The Big Lebowski is a comedy film in which 'The Dude' is mistaken for a millionaire with the same name. His laid-back life derails into a bizarre kidnapping case filled with odd characters.
No Country for Old Men,"No Country for Old Men is a crime/thriller film set in Texas, where a hunter stumbles upon drug money. A relentless hitman pursues him, challenging a weary sheriff to maintain order."
Skyfall,Skyfall is an action/spy film where James Bond investigates an attack on MI6. Personal loyalties are tested as he chases a villain with ties to M’s past.
Mad Max: Fury Road,"Mad Max: Fury Road is an action film set in a post-apocalyptic desert wasteland. Furiosa and Max join forces to flee a tyrannical warlord, igniting a high-octane chase across the sands."
Die Hard,"Die Hard is an action/thriller film where off-duty cop John McClane battles terrorists in a Los Angeles skyscraper. Trapped and outnumbered, he fights to save his wife and other hostages."
The Sixth Sense,The Sixth Sense is a horror/thriller film about a child psychologist treating a boy who claims to see ghosts. Their sessions reveal chilling secrets that bind them both.
The Incredibles,The Incredibles is an animation/superhero film about a family of former heroes forced back into action. Their domestic struggles combine with high-stakes battles to save the city.
Beauty and the Beast,"Beauty and the Beast is a fantasy/romance film about Belle, a brave young woman who becomes a captive in a cursed castle. Love and kindness hold the power to break the spell."
"Monsters, Inc.","Monsters, Inc. is an animation/comedy film where monsters collect children’s screams as an energy source. Their world is turned upside down when a little girl accidentally enters their realm."
Zootopia,Zootopia is an animation/comedy film about an optimistic rabbit police officer teaming up with a sly fox to solve a missing-mammals case. Their investigation uncovers a bigger conspiracy.
Frozen,"Frozen is an animation/musical film about Princess Elsa, who inadvertently plunges her kingdom into eternal winter using her ice powers. Her sister Anna embarks on a quest to save Elsa and restore warmth."
Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse is an animation/superhero film where multiple Spider-heroes from different dimensions converge. Young Miles Morales learns to embrace his new powers and responsibility.
Shrek,"Shrek is an animation/comedy film about an ogre who sets out to rescue a princess to reclaim his swamp. Alongside a talkative donkey, he discovers love and acceptance in unexpected forms."
Finding Nemo,Finding Nemo is an animation/adventure film in which an overprotective clownfish searches for his missing son across the ocean. A forgetful but friendly fish accompanies him on the perilous journey.
Inside Out,"Inside Out is an animation/family film that personifies the emotions inside an 11-year-old girl's mind. Joy, Sadness, and others navigate turmoil when the family moves to a new city."
The Notebook,The Notebook is a romance film chronicling the love story of Noah and Allie in 1940s coastal North Carolina. Their enduring bond overcomes class differences and the test of time.
The Princess Bride,"The Princess Bride is a fantasy/romance film about Westley’s quest to rescue his beloved Buttercup from a scheming prince. Swordfights, giants, and witty banter fill this playful tale of true love."
Before Sunrise,Before Sunrise is a romance film about two strangers who meet on a train and spend a night wandering Vienna. Their deep connection flourishes in fleeting hours before sunrise.
500 Days of Summer,"500 Days of Summer is a romantic comedy film following Tom, a greeting-card writer, and his changing feelings for Summer. The story jumps through time, capturing the highs and lows of modern love."
The Hunger Games,The Hunger Games is a sci-fi/action film set in a dystopian society where teenagers fight to the death in a televised arena. Katniss Everdeen becomes a symbol of rebellion against oppression.
The Maze Runner,The Maze Runner is a sci-fi/action film about teens trapped in a mysterious maze with no memory of their past. Thomas leads the group to uncover secrets behind their deadly prison.
John Wick,"John Wick is an action film featuring a retired hitman who avenges the killing of his puppy, a final gift from his late wife. His rampage draws him back into a brutal underworld he once fled."
Aladdin,"Aladdin is a fantasy/musical film about a kind-hearted street urchin who discovers a magical lamp. With the genie’s help, he tries to win the princess’s heart while thwarting an evil vizier."
How to Train Your Dragon,"How to Train Your Dragon is an animation/adventure film about Hiccup, a Viking who befriends an injured dragon. Their bond challenges his village’s long-standing fear and hatred of dragons."
Moana,"Moana is an animation/adventure film about a Polynesian girl chosen by the ocean to restore a cursed island's heart. Accompanied by the demigod Maui, she sails across the sea in a quest of self-discovery."
Rocky,"Rocky is a sports/drama film about a small-time boxer who gets a shot at the world heavyweight championship. With grit and determination, he trains relentlessly to prove his worth."
Raging Bull,Raging Bull is a sports/drama film chronicling boxer Jake LaMotta’s turbulent life in and out of the ring. His violent temper and jealousy sabotage relationships and his own success.
Amélie,"Amélie is a comedy/romance film set in Paris, following a shy waitress who secretly improves others’ lives through small acts. Her journey becomes one of self-discovery and personal connection."
The Shape of Water,"The Shape of Water is a fantasy/romance film about Elisa, a mute janitor who discovers an amphibious creature in a secret government lab. Their tender connection defies social norms and scientific boundaries."
Chinatown,Chinatown is a crime/mystery film where private detective Jake Gittes uncovers corruption in Los Angeles’ water supply. Twisted family secrets converge as the investigation reaches a tragic end.
A Clockwork Orange,"A Clockwork Orange is a dystopian crime film about Alex, a violent delinquent subjected to controversial psychological conditioning. Society wrestles with the cost of curbing free will for public safety."
Taxi Driver,Taxi Driver is a psychological drama film about a troubled Vietnam War veteran working as a night-shift cabbie in New York. His isolation and growing disdain for urban decay push him toward violence.
The Iron Giant,The Iron Giant is an animation/sci-fi film where a young boy befriends a massive robot from outer space. They must hide it from a paranoid government agent determined to destroy it.
Stand by Me,Stand by Me is a coming-of-age drama film about four friends who set out to find a missing boy’s body. Their journey becomes a poignant exploration of childhood and friendship.
The Curious Case of Benjamin Button,"The Curious Case of Benjamin Button is a fantasy/drama film about a man who ages in reverse. His unusual life intersects with love, war, and changing eras as he grows younger."
Life of Pi,"Life of Pi is an adventure/drama film about a boy stranded on a lifeboat with a Bengal tiger. Their epic voyage across the ocean tests faith, resilience, and imagination."
Her,Her is a sci-fi/romance film where a lonely writer falls in love with an intelligent operating system. Their unconventional relationship explores the nature of connection and identity.
Slumdog Millionaire,Slumdog Millionaire is a drama/romance film about an Indian teen who rises from the slums to compete on a popular quiz show. His life story unfolds through each question he must answer.
The Revenant,"The Revenant is a survival/western film set in the 1820s, where a frontiersman is left for dead after a bear attack. Fueled by vengeance, he traverses the harsh wilderness to find those who betrayed him."
Cast Away,Cast Away is an adventure/drama film about a FedEx employee who becomes stranded on a deserted island after a plane crash. His fight for survival tests his spirit and hope of returning home.
The Hateful Eight,The Hateful Eight is a western thriller film about eight strangers seeking shelter during a blizzard in post–Civil War Wyoming. Hidden motives and simmering tensions lead to bloody confrontation.
Jaws,"Jaws is a horror/thriller film about a great white shark terrorizing a beach town. A police chief, a marine scientist, and a grizzled fisherman set out to stop the deadly predator."
In the Mood for Love,"In the Mood for Love is a romance/drama film set in 1960s Hong Kong, where two neighbors suspect their spouses of infidelity. Their restrained bond grows as they seek solace in each other’s company."
Pan's Labyrinth,Pan's Labyrinth is a dark fantasy film about a young girl who discovers a mythical labyrinth during the Spanish Civil War. She confronts both magical trials and her cruel stepfather's brutality.
The Great Dictator,The Great Dictator is a comedy/satire film starring Charlie Chaplin as a humble barber mistaken for a tyrannical ruler. His final speech delivers a poignant plea for peace and humanity.
Singin' in the Rain,"Singin' in the Rain is a musical/comedy film capturing Hollywood’s transition from silent films to talkies. A charismatic star, his partner, and a hopeful actress navigate romance and changing technology."
Some Like It Hot,Some Like It Hot is a comedy film in which two musicians witness a mob hit and disguise themselves as women in a female band. Love triangles and hilarious misunderstandings ensue.
The Sound of Music,The Sound of Music is a musical/drama film about a spirited nun who becomes a governess for seven children in Austria. Her songs and warmth bring hope amid the threat of Nazi Germany.
The King's Speech,The King's Speech is a historical drama film depicting King George VI’s struggle with a speech impediment. His bond with an unconventional therapist helps him lead Britain through war.
The Social Network,The Social Network is a drama/biographical film about Mark Zuckerberg creating Facebook while at Harvard. Friendships fracture as lawsuits and success transform his life.
Trainspotting,Trainspotting is a drama film centered on a group of heroin addicts in Edinburgh. Their reckless choices and attempts at recovery clash with grim reality and dark humor.
The Big Short,The Big Short is a drama/comedy film exploring the 2008 financial crisis. A group of outsiders profit from the housing bubble collapse while exposing deep corruption in banking.
Spotlight,Spotlight is a drama/thriller film about The Boston Globe’s investigative team uncovering child abuse in the Catholic Church. Their dogged reporting reveals a massive scandal.
Gone with the Wind,"Gone with the Wind is a historical romance film set during the American Civil War. Southern belle Scarlett O’Hara endures love, loss, and survival amid a changing South."
12 Angry Men,12 Angry Men is a courtroom drama film about a jury debating a homicide case in a sweltering room. Prejudices and doubts clash as one man stands against a quick guilty verdict.
Cool Hand Luke,Cool Hand Luke is a prison drama film following a rebellious inmate with an unbreakable spirit. His refusal to conform challenges the brutal chain-gang system.
Heat,Heat is a crime/thriller film pitting a meticulous bank robber against an equally driven detective in Los Angeles. Their cat-and-mouse duel tests personal codes and loyalties.
Scarface,"Scarface is a crime/drama film following Tony Montana, a Cuban immigrant who rises in Miami’s drug empire. His ruthless ambition leads to violent power struggles and downfall."
Platoon,Platoon is a war film depicting a young soldier’s harrowing experiences in the Vietnam War. Inner conflicts and moral dilemmas tear his platoon apart from within.
The Last Samurai,The Last Samurai is a historical drama film about an American military advisor who embraces samurai culture in 19th-century Japan. He becomes entangled in a rebellion against modern forces.
Donnie Darko,Donnie Darko is a sci-fi/psychological film about a troubled teenager guided by visions of a doomsday rabbit figure. Time loops and existential dread blur reality in his suburban life.
The Butterfly Effect,The Butterfly Effect is a sci-fi/thriller film where a college student travels back in time to alter traumatic events. Each change creates unforeseen consequences in his present.
Mission: Impossible,"Mission: Impossible is an action/spy film about IMF agent Ethan Hunt, framed for the deaths of his team. He races against time to clear his name and expose the mole."
Edge of Tomorrow,Edge of Tomorrow is a sci-fi/action film in which a soldier relives the same day fighting alien invaders. Each loop enables him to improve his combat skills and seek victory.
Minority Report,"Minority Report is a sci-fi/crime film set in a future where psychic technology prevents murders before they happen. When the chief of PreCrime is accused, he flees to prove his innocence."
Silver Linings Playbook,Silver Linings Playbook is a romantic comedy/drama film about two troubled individuals coping with personal losses. Their shared eccentricities bring them together through dance and mutual healing.
Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind is a sci-fi/romance film about a couple who erase memories of each other after a painful breakup. Fate conspires to reconnect them even as their recollections vanish.
Groundhog Day,Groundhog Day is a fantasy/comedy film where a cynical weatherman finds himself reliving the same day repeatedly. He discovers self-improvement is key to breaking the time loop.
Ferris Bueller's Day Off,"Ferris Bueller's Day Off is a teen comedy film in which a high school slacker fakes illness to skip school. With friends, he enjoys an epic day in Chicago while evading his suspicious principal."
Ghostbusters,Ghostbusters is a comedy/fantasy film about three unemployed parapsychologists starting a ghost-catching business in New York City. Their success leads to confrontations with powerful supernatural forces.
The Maltese Falcon,"The Maltese Falcon is a film-noir/crime classic about private detective Sam Spade seeking a priceless statuette. Lies, betrayal, and deadly ambition surround the coveted relic."
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove is a satirical war film about a rogue general who triggers a nuclear crisis. Political leaders and eccentric advisors scramble to prevent doomsday.
The Bridge on the River Kwai,The Bridge on the River Kwai is a war film depicting British POWs forced to build a bridge for the Japanese in World War II. A clash of duty and sabotage unfolds under harsh conditions.
Lawrence of Arabia,Lawrence of Arabia is a historical epic film about T.E. Lawrence uniting Arab tribes against the Ottoman Empire. His daring campaigns in the desert reshape him and the region’s future.
A Beautiful Mind,A Beautiful Mind is a biographical drama film about mathematician John Nash and his struggle with schizophrenia. His brilliance and love help him navigate a fraught reality.
Gandhi,Gandhi is a historical biopic film chronicling Mahatma Gandhi’s nonviolent campaign against British colonial rule in India. His commitment to peace inspires global change.
Unforgiven,"Unforgiven is a western drama film where a retired gunslinger accepts one last job to collect a bounty. Confronting his violent past, he grapples with morality and redemption."
Million Dollar Baby,Million Dollar Baby is a sports/drama film about a veteran boxing trainer who reluctantly coaches a determined young woman. Their bond grows as they chase a shot at the title.
The Pursuit of Happyness,"The Pursuit of Happyness is a biographical drama film following Chris Gardner, a homeless salesman determined to create a better life for his son. His resilience and hope guide him toward a brighter future."
Room,Room is a drama film about a young mother and her son held captive in a tiny room. Their daring escape brings emotional challenges as they adjust to the larger world outside.
The Help,"The Help is a historical drama film set in 1960s Mississippi, where a young writer interviews African American maids about their experiences. Their stories ignite social change and personal courage."
The Bourne Identity,The Bourne Identity is an action/spy film in which an amnesiac man is rescued from the sea with gunshot wounds. He must piece together his past while evading assassins and a covert CIA operation.
Brave,"Brave is an animation/fantasy film about Princess Merida, an expert archer in medieval Scotland. Defying tradition leads her to a magical misfortune, forcing her to mend family bonds and reverse a curse."
The Dark Knight Rises,"The Dark Knight Rises is a superhero/action film where Batman resurfaces years after taking the blame for Harvey Dent’s crimes. He faces Bane, a ruthless terrorist, in a battle for Gotham’s survival."
Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone is a fantasy/adventure film in which an orphan learns he is a wizard and attends Hogwarts School. He discovers hidden dangers surrounding a secret object within the castle.
Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets is a fantasy/adventure film where Harry returns to Hogwarts to face a dark force petrifying students. Cryptic messages warn of a hidden chamber and a deadly creature.
Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban is a fantasy/adventure film that sees Harry confronting the mysterious escapee Sirius Black. Time-travel and shocking revelations reshape Harry’s understanding of his past.
Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl is a fantasy/adventure film in which Captain Jack Sparrow teams up with a blacksmith to rescue a kidnapped maiden. They face undead pirates cursed by stolen treasure.
The Greatest Showman,"The Greatest Showman is a musical/drama film about P.T. Barnum’s pursuit of show business glory. His visionary circus unites outcasts and dazzles crowds, but also tests his relationships."
Men in Black,Men in Black is a sci-fi/comedy film where secret agents police extraterrestrial activity on Earth. A rookie pairs with a veteran to track down a dangerous alien threat.
Transformers,Transformers is a sci-fi/action film featuring two warring robot factions disguised as vehicles on Earth. A teenager becomes entangled in their conflict to control a powerful artifact.
The Conjuring,"The Conjuring is a horror film about paranormal investigators Ed and Lorraine Warren, who aid a family terrorized by dark forces in their farmhouse. Malevolent spirits push the couple’s faith and skills to the limit."
Hacksaw Ridge,"Hacksaw Ridge is a war film about Desmond Doss, a conscientious objector who serves as a medic in WWII. His bravery under fire saves countless lives without firing a single shot."
Arrival,Arrival is a sci-fi/drama film where a linguist is recruited to communicate with mysterious aliens that have landed on Earth. Her journey reveals the power of language and the nature of time.
Get Out,"Get Out is a horror/thriller film about a Black photographer visiting his white girlfriend’s eerie family estate. Unsettling discoveries suggest a sinister, racially charged secret beneath their hospitality."
Us,Us is a horror/thriller film where a family’s beach vacation is disrupted by menacing doppelgängers. Their struggle for survival unearths a dark reflection of societal and personal fears.
Knives Out,Knives Out is a mystery/comedy film centered on the apparent suicide of a wealthy crime novelist. A sharp detective peels back each family member’s secrets to reveal a twisted truth.
Selma,Selma is a historical drama film depicting Dr. Martin Luther King Jr.’s campaign to secure equal voting rights. The pivotal march from Selma to Montgomery alters the course of the Civil Rights Movement.
The Irishman,"The Irishman is a crime/biographical film that follows Frank Sheeran, a hitman involved with the Bufalino crime family. His tale weaves through labor unions, political ties, and the mysterious fate of Jimmy Hoffa."
Thor,"Thor is a superhero/fantasy film about the Norse god of thunder, banished from Asgard to Earth. Stripped of his power, he learns humility while protecting humanity from otherworldly threats."
Captain America: The Winter Soldier,"Captain America: The Winter Soldier is a superhero/action film where Steve Rogers uncovers a conspiracy within S.H.I.E.L.D. He battles an elusive assassin known as the Winter Soldier, tied to his past."
X-Men,"X-Men is a superhero/sci-fi film introducing mutants with extraordinary powers who face prejudice. Professor Xavier’s school aims for peaceful coexistence, while Magneto pursues a more militant path."
X-Men: First Class,"X-Men: First Class is a superhero/action film set in the 1960s, exploring the origins of Professor X and Magneto’s friendship. Their alliance is tested by a global threat and opposing ideologies."
The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo is a crime/mystery film involving a journalist and a brilliant hacker investigating a decades-old disappearance. Their dangerous search uncovers dark family secrets.
Black Swan,Black Swan is a psychological drama film about a ballet dancer striving for perfection in Swan Lake. Her pursuit triggers paranoia and hallucinations that blur the line between reality and performance.
The Cabin in the Woods,"The Cabin in the Woods is a horror/comedy film where five friends vacation in a remote cabin. Unknowingly, they become pawns in a twisted ritual controlled by hidden technicians."
A Quiet Place,A Quiet Place is a horror/thriller film where a family lives in silence to avoid deadly creatures that hunt by sound. Their tight-knit bond is tested when a new child is on the way.
Sweeney Todd: The Demon Barber of Fleet Street,"Sweeney Todd: The Demon Barber of Fleet Street is a musical/horror film about a vengeful barber in Victorian London. With his partner in crime, he serves grisly pies that feed his murderous quest for retribution."
Chicago,"Chicago is a musical/crime film set in the roaring 1920s, featuring two women accused of murder vying for fame. Their lawyer manipulates public opinion, turning trials into sensational shows."
Mulan,Mulan is an animation/adventure film where a courageous Chinese girl disguises herself as a male soldier to save her father. She fights to protect her homeland and discover her true strength.
Cinderella,"Cinderella is an animation/fantasy film about a kind-hearted girl mistreated by her stepfamily. With magical help, she attends a royal ball that changes her destiny."
Maleficent,"Maleficent is a fantasy/family film reimagining the Sleeping Beauty tale from the villain’s perspective. Betrayed in her youth, the powerful fairy curses a princess but eventually questions her own darkness."
Wonder Woman,"Wonder Woman is a superhero/action film about Diana, an Amazonian warrior who ventures into World War I to save mankind. Her compassion and combat skills challenge the evil threatening the world."
Justice League,"Justice League is a superhero/action film in which Batman and Wonder Woman unite new heroes to face an alien invasion. The team struggles to resurrect Superman, hoping he can tip the balance."
Pacific Rim,Pacific Rim is a sci-fi/action film where giant robots called Jaegers battle colossal sea monsters known as Kaiju. Two unlikely pilots must synchronize minds to save humanity from extinction.
The Exorcist,The Exorcist is a horror film about a young girl possessed by a demonic entity. A desperate mother seeks help from priests who confront pure evil in a terrifying rite.
